,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
2061,2061,,Whole Duck,Foie gras,74,All-Stars Tournament: Round Four - Chopped Judges,3/27/2011,The chefs were given 40 minutes in the entr√©e round rather than the normal 30 to allow time to properly cook the duck.,http://en.wikipedia.org/wiki/Foie_gras,"Foie gras (/Àåfw…ëÀêÀà…°r…ëÀê/, French for ""fat liver"") is a food product made of the liver of a duck or goose that has been specially fattened. By French law, foie gras is defined as the liver of a duck or goose fattened by force-feeding corn with a gavage, although in Spain and other counties outside of France it is occasionally produced using natural feeding.
Foie gras is a popular and well-known delicacy in French cuisine. Its flavor is described as rich, buttery, and delicate, unlike that of an ordinary duck or goose liver. "
2062,2062,,Winter Melon,Winter melon,215,Redeemed or Re-chopped?,11/5/2013,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/Winter_melon,"The winter melon, also called white gourd, winter gourd, or ash gourd, is a vine grown for its very large fruit, eaten as a vegetable when mature. It is the only member of the genus Benincasa. The fruit is fuzzy when young. The immature melon has thick white flesh that is sweet when eaten. "
2063,2063,,Wonton Skins,Jiaozi,56,"$50,000 Tournament: Round One",8/31/2010,"This was the first of a five-part series of episodes, where sixteen past champions competed. The winner of each preliminary round advanced to the finale, where they competed for $50,000.",http://en.wikipedia.org/wiki/Jiaozi,"Jiaozi or if fried, pot sticker, is a type of dumpling commonly eaten across Eastern, Central and Western Asia. Though commonly considered part of Chinese cuisine, jiaozi are also commonly eaten in many other Asian countries.
Jiaozi typically consists of a ground meat and/or vegetable filling wrapped into a thinly rolled piece of dough, which is then sealed by pressing the edges together or by crimping. Jiaozi should not be confused with wonton; jiaozi has a thicker skin and a relatively flatter, more oblate, double-saucer like shape (similar in shape to ravioli), and is usually eaten with a soy-vinegar dipping sauce (and/or hot chili sauce); while wontons have thinner skin, raviolis have square skins, and are usually served in broth. "
2064,2064,,Wonton Wrappers,Wonton,4,"Banana, Collard Greens, Grits",2/3/2009,"In the appetizer round, Chef Chuboda refused to use bananas in his dish, leading to his elimination. In the dessert round, Chef Gonzalez accidentally used salt instead of sugar in his dish, asserting that this resulted in his elimination.",http://en.wikipedia.org/wiki/Wonton,"A wonton (also spelled wantan, wanton, or wuntun in transcription from Cantonese; Mandarin: h√∫ntun [xw…ôÃån.dw…ôÃån]) is a type of dumpling commonly found in a number of Chinese cuisines.
"
2065,2065,,Wonton Wrappers,Wonton,13,"Strawberries, Turkey and Gummi Bears",4/7/2009,,http://en.wikipedia.org/wiki/Wonton,"A wonton (also spelled wantan, wanton, or wuntun in transcription from Cantonese; Mandarin: h√∫ntun [xw…ôÃån.dw…ôÃån]) is a type of dumpling commonly found in a number of Chinese cuisines.
"
2066,2066,,Wonton Wrappers,Wonton,66,Victory on the Brain,1/4/2011,The fish heads used in the entr√©e round were from northeastern cod.,http://en.wikipedia.org/wiki/Wonton,"A wonton (also spelled wantan, wanton, or wuntun in transcription from Cantonese; Mandarin: h√∫ntun [xw…ôÃån.dw…ôÃån]) is a type of dumpling commonly found in a number of Chinese cuisines.
"
2067,2067,,Wonton Wrappers,Wonton,106,Class Acts,11/22/2011,Each of the chefs in this episode is a chef in a school cafeteria.  Judge Sam Kass is an assistant chef in the White House as well a senior policy advisor on healthy food initiatives.  This episode was part of a Food Network initiative with Share Our Strength to promote children's nutrition and to combat hunger in children.,http://en.wikipedia.org/wiki/Wonton,"A wonton (also spelled wantan, wanton, or wuntun in transcription from Cantonese; Mandarin: h√∫ntun [xw…ôÃån.dw…ôÃån]) is a type of dumpling commonly found in a number of Chinese cuisines.
"
2068,2068,,Wonton Wrappers,Wonton,146,"Oui, Oui, Confit",8/14/2012,,http://en.wikipedia.org/wiki/Wonton,"A wonton (also spelled wantan, wanton, or wuntun in transcription from Cantonese; Mandarin: h√∫ntun [xw…ôÃån.dw…ôÃån]) is a type of dumpling commonly found in a number of Chinese cuisines.
"
2069,2069,Xtabentún (liqueur),Xtabentun,,147,Grill Masters: Finale,8/19/2012,,,
2070,2070,,Yacon,Yac√≥n,184,Amazing Amateurs,5/14/2013,All of the chefs competing in this episode were amateurs. They wore regular chef's attire during the competition. Chef Biaggi was rewarded with an authentic Chopped chef's coat at the end.,http://en.wikipedia.org/wiki/Yac%C3%B3n,"The yac√≥n (Smallanthus sonchifolius, syn.: Polymnia edulis, P. sonchifolia) is a perennial plant traditionally grown in the Northern and Central Andes from Colombia to Northern Argentina for its crisp, sweet-tasting tuberous roots. The texture and flavour are very similar to jicama, mainly differing in that yac√≥n has some slightly sweet resinous and floral (similar to violet) undertones to its flavor. This flavoring is probably due to a sweet substance called inulin, as replicates the sweet taste found in the roots of elecampane, which also contains this substance. "
2071,2071,Yak,Yak Strip Steaks,,107,"Yakety Yak, Yak, Yak",11/29/2011,,,
2072,2072,,Yellow Miso Paste,Miso,37,Raw Enthusiasm,4/12/2010,,http://en.wikipedia.org/wiki/Miso,"Miso („Åø„Åù or Âë≥Âôå?) is a traditional Japanese seasoning produced by fermenting soybeans with salt and the fungus Aspergillus oryzae, known in Japanese as k≈çjikin (È∫πËèå?), and sometimes rice, barley, or other ingredients. The result is a thick paste used for sauces and spreads, pickling vegetables or meats, and mixing with dashi soup stock to serve as miso soup called misoshiru (Âë≥ÂôåÊ±Å?), a Japanese culinary staple. High in protein and rich in vitamins and minerals, miso played an important nutritional role in feudal Japan. Miso is still widely used in Japan, both in traditional and modern cooking, and has been gaining worldwide interest.
"
2073,2073,,Yellow Plantains,Cooking plantain,16,Floundering Around,6/30/2009,,http://en.wikipedia.org/wiki/Cooking_plantain,"A cooking plantain or plantain (/Ààpl√¶nt…®n/ or /pl√¶nÀàte…™n/; occasionally US /Ààpl…ëÀênt…®n/) is a fruit of one of the cultivated varieties (cultivars) of the genus Musa intended to be consumed only after cooking or other processing, rather than being eaten raw. Those fruits intended to be eaten raw may be called ""dessert bananas"" or just ""bananas"", although ""banana"" is also used as a collective term to include both bananas and plantains. There is no formal botanical distinction between the two. In some countries, there may appear to be a clear distinction between cooking plantains and dessert bananas, but in other countries, where many more cultivars are consumed, the differences are not so clear-cut and the distinction is not made in the common names used there.
"
2074,2074,Chanterelle,Yellowfoot Chanterelle Mushrooms,,149,Stacking Up,9/4/2012,,,
2075,2075,,Young Coconut,Coconut water,192,"Fry, Fry, Again",6/2/2013,Each dish had to have at least one fried element. The chefs were provided with a pot of oil already at frying temperature to start each round.,http://en.wikipedia.org/wiki/Coconut_water,"Coconut water is the clear liquid inside young green coconuts (fruits of the coconut palm). In early development, it serves as a suspension for the endosperm of the coconut during their nuclear phase of development. As growth continues, the endosperm mature into their cellular phase and deposit into the rind of the coconut meat. Coconut water has long been a popular drink in the tropics, especially in India, Brazilian Coast, Southeast Asia, Pacific Islands, Africa, and the Caribbean, where it is available fresh, canned, or bottled. "
2076,2076,Cassava,Yuca,,116,I'm Your Huckleberry,2/7/2012,"During the entr√©e round, the chefs were given a hammer to open the coconut. Chef Anderson works at Landmarc, which is owned by Chopped judge Marc Murphy.",,
2077,2077,Cassava,Yuca,,191,Wurst Case Scenario,7/23/2013,"Chef Joshi works at Tertulia, under occasional Chopped judge Seamus Mullen.",,
2078,2078,Cassava,Yuca,,5,"Yucca, Watermelon, Tortillas",2/10/2009,,,
2079,2079,Cassava,Yuca,,164,Hecho en the Chopped Kitchen,2/7/2013,This episode featured Latin-themed ingredients.,,
2080,2080,,Yukon Gold Potatoes,Yukon Gold potato,34,Sweet Redemption,3/21/2010,This was the first episode to feature four past runners-up.,http://en.wikipedia.org/wiki/Yukon_Gold_potato,"Yukon Gold is a large variety of potato most distinctly characterized by its thin, smooth eye free skin and yellow tinged flesh. This variety of potato was developed in 1960‚Äôs by G. R. Johnston and R.G. Rowberry in Guelph, Ontario, Canada at the University of Guelph. "
2081,2081,,Yuzu Juice,Yuzu,30,A Nori Story,11/3/2009,,http://en.wikipedia.org/wiki/Yuzu,"The yuzu (Citrus ichangensis √ó C. reticulata, formerly C. junos Siebold ex. Tanaka; Japanese „É¶„Ç∫, Êüö, ÊüöÂ≠ê (yuzu); Ïú†Ïûê (yuja) in Korean; from Chinese ÊüöÂ≠ê, y√≤uzi) is a citrus fruit and plant originating in East Asia. "
2082,2082,,Yuzu Juice,Yuzu,129,Yuzu Never Know,5/1/2012,,http://en.wikipedia.org/wiki/Yuzu,"The yuzu (Citrus ichangensis √ó C. reticulata, formerly C. junos Siebold ex. Tanaka; Japanese „É¶„Ç∫, Êüö, ÊüöÂ≠ê (yuzu); Ïú†Ïûê (yuja) in Korean; from Chinese ÊüöÂ≠ê, y√≤uzi) is a citrus fruit and plant originating in East Asia. "
2083,2083,,Yuzu Juice,Yuzu,231,Grandma vs. Grandma,3/4/2014,"All contestants are grandmothers.The meatloaf mix is made of a mix of Veal Pork and Beef. Old Fashioned is a mix of bourbon, bitters, soda and sugar.",http://en.wikipedia.org/wiki/Yuzu,"The yuzu (Citrus ichangensis √ó C. reticulata, formerly C. junos Siebold ex. Tanaka; Japanese „É¶„Ç∫, Êüö, ÊüöÂ≠ê (yuzu); Ïú†Ïûê (yuja) in Korean; from Chinese ÊüöÂ≠ê, y√≤uzi) is a citrus fruit and plant originating in East Asia. "
2084,2084,,Yuzu Marmalade,Yuzu,169,Chopped Champions: Part 3,1/29/2013,,http://en.wikipedia.org/wiki/Yuzu,"The yuzu (Citrus ichangensis √ó C. reticulata, formerly C. junos Siebold ex. Tanaka; Japanese „É¶„Ç∫, Êüö, ÊüöÂ≠ê (yuzu); Ïú†Ïûê (yuja) in Korean; from Chinese ÊüöÂ≠ê, y√≤uzi) is a citrus fruit and plant originating in East Asia. "
2085,2085,,Zucchini,Zucchini,5,"Yucca, Watermelon, Tortillas",2/10/2009,,http://en.wikipedia.org/wiki/Zucchini,"The zucchini or courgette is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Along with certain other squashes and pumpkins, it belongs to the species Cucurbita pepo. Zucchini can be dark or light green. A related hybrid, the golden zucchini, is a deep yellow or orange color.
"
2086,2086,,Zucchini,Zucchini,49,Keep On Cook'n On,6/22/2010,,http://en.wikipedia.org/wiki/Zucchini,"The zucchini or courgette is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Along with certain other squashes and pumpkins, it belongs to the species Cucurbita pepo. Zucchini can be dark or light green. A related hybrid, the golden zucchini, is a deep yellow or orange color.
"
